Index	Rewards	 Distance
1176      -1        5
1177      -1        4
1178      -1        2
1179      -1        2
1180      -1        4
1181      -1        4
1182      -1        3
1183      -1        3
1184      -1        3
1185      -1        3
1186      -1        1
1187      -1        3
1188      -1        3
1189      -1        3
1190      -1        3
1191      -1        3
1192      -1        3
1193      -1        3
1194      -1        2
1195      -1        2
1196      -1        4
1197      -1        2
1198      -1        4
1199      -1        4
1200      -1        4
1201      -1        4
1202      -1        4
1203      -1        2
1204      -1        2
1205      -1        2
1206      -1        2
1207      -1        4
1208      -1        4
1209      -1        3
1210      -1        3
1211      -1        3
1212      -1        1
1213      -1        1
1214      -1        1
1215      -2        3
1216      -1        3
1217      -1        3
1218      -1        3
1219      -1        3
1220      -1        3
1221      -1        3
1222      -1        3
1223      -1        3
1224      -1        2
1225      -1        4
1226      -1        2
1227      -1        4
1228      -1        4
1229      14        2
1230      -1        2
1231      -1        3
1232      -1        3
1233      -1        3
1234      -1        4
1235      14        2
1236      -1        4
1237      -1        2
1238      -1        2
1239      -1        2
1240      -1        2
1241      -1        4
1242      -1        2
1243      -1        2
1244      -1        4
1245      14        2
1246      -1        4
1247      -1        3
1248      -1        3
1249      -1        1
1250      -1        3
1251      -1        3
1252      -2        1
1253      -1        3
1254      -1        1
1255      -1        1
1256      14        1
1257      -1        2
1258      -1        4
1259      -1        5
1260      -1        3
1261      -1        2
1262      -1        2
1263      -1        3
1264      -1        3
1265      -1        3
1266      -1        5
1267      -2        4
1268      -1        6
1269      -1        4
1270      -1        2
1271      -1        2
1272      -1        2
1273      -1        2
1274      14        2
1275      -1        2
1276      -1        2
1277      -1        3
1278      -1        3
1279      -1        3
1280      -1        3
1281      -1        3
1282      -1        1
1283      -1        3
1284      -1        5
1285      -1        3
1286      -1        3
1287      -1        3
1288      -1        3
1289      -1        1
1290      -1        3
1291      -1        1
1292      -1        1
1293      -1        3
1294      -1        3
1295      -1        3
1296      -1        4
1297      -1        4
1298      -1        6
1299      -1        5
1300      -1        5
1301      -1        5
1302      -1        3
1303      -1        3
1304      -1        3
1305      -1        3
1306      -1        5
1307      -1        5
1308      -1        3
1309      -1        3
1310      -1        3
1311      -1        1
1312      -1        1
1313      -1        3
1314      -1        3
1315      -1        1
1316      -1        3
1317      -1        5
1318      -1        5
1319      -1        3
1320      -1        5
1321      -1        5
1322      -1        5
1323      -1        3
1324      -1        5
1325      -1        3
1326      -1        3
1327      -1        3
1328      -2        1
1329      -1        2
1330      -1        2
1331      -1        2
1332      14        1
1333      -1        3
1334      -1        2
1335      -1        2
1336      -1        4
1337      -1        4
1338      14        4
1339      -1        4
1340      -1        4
1341      -1        4
1342      -1        2
1343      -1        2
1344      -1        4
1345      -1        2
1346      -1        2
1347      -1        2
1348      -1        2
1349      -1        2
1350      -1        2
1351      -1        2
1352      -1        2
1353      -1        2
1354      -1        4
1355      -1        3
1356      -1        3
1357      -1        3
1358      -1        1
1359      -1        1
1360      -1        3
1361      14        3
1362      -1        3
1363      -1        3
1364      -1        3
1365      -2        1
1366      -1        3
1367      -1        5
1368      -1        3
1369      -2        1
1370      -1        1
1371      -1        3
1372      -1        3
1373      -1        3
1374      -1        4
1375      -1        4
1376      -1        4
1377      -2        4
1378      -1        4
1379      -1        2
1380      -1        4
1381      -1        3
1382      -1        1
1383      -1        1
1384      -1        1
1385      -1        3
1386      -1        5
1387      -1        4
1388      -1        6
1389      -1        4
1390      -1        2
1391      -1        4
1392      -1        4
1393      -1        2
1394      -1        2
1395      -1        2
1396      -1        3
1397      -1        1
1398      -1        1
1399      -1        3
1400      -1        3
1401      -1        3
1402      -1        3
1403      -1        1
1404      -2        3
1405      -1        3
1406      -1        3
1407      -1        3
1408      -2        3
1409      -1        3
1410      -1        3
1411      14        3
1412      -1        5
1413      -1        3
1414      -1        3
1415      -1        3
1416      -2        1
1417      -1        3
1418      -1        1
1419      -1        2
1420      -1        2
1421      -1        2
1422      -1        2
1423      -1        2
1424      -1        2
1425      -1        3
1426      14        3
1427      -2        3
1428      -1        1
1429      -1        3
1430      -1        3
1431      -1        3
1432      -1        3
1433      -1        3
1434      -1        2
1435      -1        2
1436      -1        2
1437      -1        2
1438      -1        2
1439      -2        4
1440      -1        4
1441      14        4
1442      -2        2
1443      -1        2
1444      -1        4
1445      -2        2
1446      -1        2
1447      -1        2
1448      -1        2
1449      -1        2
1450      -1        2
1451      -1        1
1452      -1        1
1453      -1        3
1454      -1        3
1455      -1        3
1456      -1        3
1457      14        1
1458      -1        1
1459      -1        3
1460      14        1
1461      -1        3
1462      -1        3
1463      14        3
1464      -1        3
1465      -1        1
1466      -1        1
1467      -1        1
1468      -1        1
1469      -1        1
1470      -1        1
1471      -1        3
1472      -1        3
1473      -1        1
1474      -1        3
1475      -1        4
1476      -1        2
1477      -2        2
1478      -1        4
1479      -1        4
1480      -1        2
1481      -1        2
1482      -1        2
1483      -1        2
1484      -1        2
1485      -1        2
1486      14        2
1487      -1        2
1488      -1        2
1489      -1        4
1490      -1        4
1491      -1        4
1492      -1        4
1493      -1        4
1494      -2        4
1495      -1        2
1496      -1        2
1497      -1        2
1498      -2        2
1499      -1        4
1500      -1        2
1501      -1        4
1502      -2        2
1503      -1        2
1504      -1        2
1505      -1        1
1506      -1        1
1507      -1        3
1508      -1        2
1509      14        2
1510      -1        3
1511      -1        3
1512      -1        3
1513      -1        4
1514      -1        2
1515      -1        4
1516      -1        4
1517      -1        2
1518      -1        2
1519      -1        1
1520      -1        3
1521      -1        3
1522      -1        1
1523      -2        3
1524      -1        3
1525      -1        3
1526      -1        5
1527      -1        3
1528      14        5
1529      -1        3
1530      -1        3
1531      -1        1
1532      -1        1
1533      -1        3
1534      -1        3
1535      -1        5
1536      -1        5
1537      -1        3
1538      -1        3
1539      -1        3
1540      -1        3
1541      -1        3
1542      -1        3
1543      -1        3
1544      -1        3
1545      -1        3
1546      -1        3
1547      -2        3
1548      -1        1
1549      -1        3
1550      -1        3
1551      -1        1
